,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
千歳市,46.049476248661755,48.82564651285281,43.70976294788155,25.13221424497974,42.62817953814719,47.463685401207336,23.015607245343976,47.63840606770429,61.826865755840785,69.1773841041147,63.182473702810306,45.35295816066953,56.12741191273811,47.46380386228925,54.007849758409336,58.708884011145216,61.4591393567981
滝川市,45.22983287624021,52.15166190969052,50.46752204308685,35.6572872688642,41.910589663386006,47.5491481112501,40.981453450741135,39.41410953054476,37.949578551753945,63.865636078400314,46.631630534686344,49.71234721729311,44.930200423522955,46.27088352658628,47.402618726050164,51.54930700110718,55.216215142570526
砂川市,45.93462786659076,47.18017050240852,54.11674222801468,43.17204843362418,51.474196031031305,46.24932532138832,48.15649929313533,48.26092496202122,39.114655226675346,62.46579381693156,50.10501264823214,58.13914120028721,54.584710680164235,44.086958497270615,48.82476328640893,49.27435549672005,65.57436015145402
歌志内市,48.24261679347823,45.48498611935046,25.558479558314662,34.195331605932886,63.652831149187485,44.58021783651904,33.59241165291828,35.99089288050929,56.420923645131595,82.80161432165897,33.15524916186142,55.559226621294414,43.67869425146882,52.85531826002718,40.90235567515694,49.52899448297585,61.06933001887557
深川市,45.365807066219,69.19717770660995,72.26144291781674,48.63861618682793,51.64882436227871,50.05548685544227,58.13386539947854,45.91135685732863,43.301322300343784,42.55917665134685,40.474073345310025,48.23884874932071,50.99836533697785,54.9720221334187,53.51484867392027,60.83873281083455,48.375619964608674
富良野市,53.58302026314925,62.038606838908805,68.2675736645691,48.928526903830026,47.51429638484492,47.144051523133626,40.503590746510945,53.66329459150373,49.764429952579725,41.32930022397176,40.07237445708983,49.532744005025265,51.19734709952882,60.011687069122864,64.6853441650181,62.67234081740645,60.07710420713052
登別市,45.98560824972534,41.05076732778113,47.86221713981331,40.202868900589046,52.21736207894018,46.68002943463214,48.42308559563919,44.58264128885148,54.23952606295538,58.312859475762814,50.868355693718684,48.095875382124184,52.31384820491336,49.14020976728812,44.815422632743726,45.17412059378722,56.85118495353857
恵庭市,48.493013098822516,48.079491109346655,75.27637573888505,29.181221293202892,39.37785736683595,44.148824939692965,35.34293904933664,43.47905007209828,51.971829293343866,64.06031444177049,63.95534448851461,46.86736688617972,53.082516388379396,44.228705711941004,54.27834371015348,46.768478527313086,66.30670101435004
伊達市,45.746878365817636,58.03477808489017,50.12513213087482,46.60874192711574,47.987545306045305,45.856606228578585,56.786586524662795,44.51172027778361,34.55901831648022,50.08490686406236,47.53372069074626,45.53097894973367,50.759225982533806,54.690174653810665,51.00956429382353,52.93305920388948,58.44203544724825
北広島市,49.51075893944132,46.67358848199058,62.067756835316835,44.60619759472436,42.361853185559795,46.4872976237936,25.05529123134306,46.35745194268532,63.69634297311848,63.76160282732091,54.16983342994055,47.84128176933464,53.90886890081601,41.01587654658333,57.415055842689654,51.01300245542421,63.9817660489487
石狩市,45.74211506525435,47.72583563298595,51.27843235567907,49.348905666033126,41.48090041733002,42.34336525066722,49.50591275516422,46.27276141009363,66.8580833288853,49.81366583952046,49.232372042398595,43.75154376683788,50.11543820520836,41.598021325198374,50.92668027356311,46.38606702413207,58.975120732236306
北斗市,47.70284666259964,46.98102307643644,39.6334152599873,40.91618408123494,47.628918100007375,43.252625979732,45.21615842058487,34.40389461837992,52.95010546498469,52.580177851612774,53.68569796368617,45.13758281109519,48.16546134783392,55.21990881507103,51.9972120599403,48.18351462425925,66.50251813695299
当別町,55.24888515801393,64.7783043673481,61.45460824246434,44.74978623257332,43.76448569662634,53.828332026798705,43.017977448554426,40.023712013028806,54.19717288952269,47.731087438552045,41.93317711835801,39.93291836177269,54.70399442205266,51.159336454589344,56.38388703728401,47.80179416195232,54.00383564717617
新篠津村,46.82100166625623,71.09209628170493,43.65508161349071,57.20638964415691,44.72134860828115,45.30798821329512,46.86761165691963,47.881716738143304,50.804916913084384,17.2323547649038,39.94220252987919,44.5761804845321,33.45250420588538,58.061837590967556,55.64215290574669,49.719993366757045,55.54956696120625
松前町,44.034486639355244,46.66770152165666,44.94384397645644,67.64619622863519,52.26057057490519,60.16954717755305,54.22871793198865,44.02690247366789,37.566738539301525,27.47811230268279,28.929915869287377,44.88335366681462,40.72534896932526,64.19217341569973,49.126425753712496,60.06652491851694,40.75136300137491
福島町,38.785935639645686,57.83040772358867,25.361644957094732,58.28071207829515,50.67823502169927,44.98518497455643,45.83094938310004,45.68361442272019,46.100690694931984,29.731343007431573,25.01315384714618,35.64289826269496,38.43179140005367,60.292009666517146,53.11165891803036,52.354525232697135,46.068245991506814
知内町,44.27682502094862,62.866555643226526,47.98724497462336,60.560226149516915,44.35201259158282,53.714692827766065,44.10214372091962,54.70665107549888,56.518777459928145,41.87247556078302,33.73388377323897,43.373740333166104,45.82358600565974,54.31393295684439,58.295251494403274,59.92020742463904,49.401958005987886
木古内町,42.0552864154644,60.93837283528214,48.045168823962726,53.76129293635717,56.98755759471431,39.501834843861225,48.67449708982613,48.42304409240242,46.86269072301037,34.43694487120892,26.876923734359405,45.05641938247456,41.7381649329843,56.269330339620474,54.78400731798988,52.718634550179765,39.73334233787362
七飯町,53.243312802053545,50.003324998168054,54.19139888683782,50.892422888457176,43.13029868214761,41.33223321348652,48.17613380782066,39.01325687401302,57.90276411764942,48.27310709077656,47.254435114390624,44.823682641551144,43.541070064995104,44.4759538398826,52.457011007108676,51.35839861133593,55.27053297510952
鹿部町,48.481450966419125,62.599837853227584,32.13690431631315,56.20166995255968,47.38027250622589,30.589611869563505,46.88999982083465,48.492656767825245,36.72198874892325,10.57039309671342,37.70003577254816,34.2657924777776,41.17512261036026,66.55881377022953,53.0606415648194,51.85125895809024,48.26952595196672
森町,47.0459821619171,62.77174950838389,43.033572411036616,56.658082101939364,51.04773764488687,54.58044970248063,41.765522711231675,47.88435628505603,43.64724858822603,21.971025108447417,49.59102809740109,45.64337305396079,49.60214869680746,52.45918237509929,55.28699169076774,61.26054300357207,40.43321793617265
八雲町,47.128503830337955,69.28427532523251,42.59349662611124,54.239481549089305,50.38994841401594,42.40680445579738,79.4587198014018,47.77084576255684,40.02825149032793,33.04103145440628,42.043467706134265,51.64346937223097,48.54073785138502,60.271680851723254,58.02914766572358,67.9643104065571,52.35329073533506
長万部町,39.4473063036549,60.66758657699023,38.21540704200459,54.45816283999565,53.55735564898724,46.48976454485022,65.47952208830986,45.810821241649904,28.088247580254183,37.349322713960866,42.784872217741196,35.24551627778572,45.65536721340999,59.70724307823668,48.35581670385477,57.06028321429629,47.60249958993331
